work,direct_equipment,inferred_equipment,inference_reason,count,sources,unit,quantity,cost_or_price
"Засыпка вручную траншей, пазух котлованов и ям, группа грунтов 2 Объем▒246,75+21",,"автогрейдер, бульдозер, самосвал, экскаватор","земляные выемки и работа с грунтом; перемещение, засыпка или планировка грунта",1,Пример накопительной.xlsx:Лист_1:2449,100 м3 грунта,2.6775,947.7
"Засыпка вручную траншей, пазух котлованов и ям, группа грунтов 2 Объем▒279,5+368,2+130+215,2+(1430+1201,05).0,15",,"автогрейдер, бульдозер, самосвал, экскаватор","земляные выемки и работа с грунтом; перемещение, засыпка или планировка грунта",1,Пример накопительной.xlsx:Лист_1:1485,100 м3 грунта,13.8756,947.7
"Засыпка вручную траншей, пазух котлованов и ям, группа грунтов 2 Объем▒649,6+14",,"автогрейдер, бульдозер, самосвал, экскаватор","земляные выемки и работа с грунтом; перемещение, засыпка или планировка грунта",1,Пример накопительной.xlsx:Лист_1:2895,100 м3 грунта,6.636,947.7
"Засыпка вручную траншей, пазух котлованов и ям, группа грунтов 2 Объем▒94,5+112,5+40+180.0,15",,"автогрейдер, бульдозер, самосвал, экскаватор","земляные выемки и работа с грунтом; перемещение, засыпка или планировка грунта",1,Пример накопительной.xlsx:Лист_1:3475,100 м3 грунта,2.74,947.7
"Засыпка вручную траншей, пазух котлованов и ям, группа грунтов 2 Отсыпка грунтовой площадки",,"автогрейдер, бульдозер, самосвал, экскаватор","земляные выемки и работа с грунтом; перемещение, засыпка или планировка грунта",1,Пример накопительной.xlsx:Лист_1:55561,100 м3 грунта,0.083,947.7
"Засыпка вручную траншей, пазух котлованов и ям, группа грунтов 2 отсыпка грунтовой площадки",,"автогрейдер, бульдозер, самосвал, экскаватор","земляные выемки и работа с грунтом; перемещение, засыпка или планировка грунта",1,Пример накопительной.xlsx:Лист_1:56659,1000 м3 грунта,0.0015,947.7
"Засыпка вручную траншей, пазух котлованов и ям, группа грунтов 2. Восстановление балласта в районе",,"автогрейдер, бульдозер, самосвал, экскаватор","земляные выемки и работа с грунтом; перемещение, засыпка или планировка грунта",1,Пример накопительной.xlsx:Лист_1:63299,100 м3 грунта,0.045,947.7
"Засыпка вручную траншей, пазух котлованов и ям, группа грунтов 2. И разравнивание лишнего грунта",,"автогрейдер, бульдозер, самосвал, экскаватор","земляные выемки и работа с грунтом; перемещение, засыпка или планировка грунта",1,Пример накопительной.xlsx:Лист_1:46825,100 м3 грунта,0.0545,947.7
"Засыпка вручную траншей, пазух котлованов и ям, группа грунтов 2. И разравнивание лишнего грунта Объем-(16.8.0,25+1,8.1.0,7.5).0,15",,"автогрейдер, бульдозер, самосвал, экскаватор","земляные выемки и работа с грунтом; перемещение, засыпка или планировка грунта",1,Пример накопительной.xlsx:Лист_1:67907,100 м3 грунта,0.0575,947.7
"Засыпка вручную траншей, пазух котлованов и ям, группа грунтов 2. Отсыпка грунтовой площадки",,"автогрейдер, бульдозер, самосвал, экскаватор","земляные выемки и работа с грунтом; перемещение, засыпка или планировка грунта",1,Пример накопительной.xlsx:Лист_1:64653,100 м3 грунта,0.13,947.7
"Засыпка вручную траншей, пазух котлованов и ям, группа грунтов 2. Производство работ на открытых и полуоткрытых производственных площадках в стесненны",,"автогрейдер, бульдозер, самосвал, экскаватор","земляные выемки и работа с грунтом; перемещение, засыпка или планировка грунта",1,Пример накопительной.xlsx:Лист_1:39223,100 м3 грунта,0.05,947.7
"Засыпка вручную траншей, пазух котлованов и ям, группа грунтов 2.Восстановление балласта в районе деформационных швов после подъемки ж.б.ПС",,"автогрейдер, бульдозер, самосвал, экскаватор","земляные выемки и работа с грунтом; перемещение, засыпка или планировка грунта",1,Пример накопительной.xlsx:Лист_1:58191,100 м3 грунта,0.07,947.7
"Засыпка вручную траншей, пазух котлованов и ям, группа грунтов 3 (обваловка опор щебнем)",,"автогрейдер, бульдозер, самосвал, экскаватор","земляные выемки и работа с грунтом; перемещение, засыпка или планировка грунта",1,Пример накопительной.xlsx:Лист_1:30449,100 м3 грунта,0.08,1179.75
"Засыпка вручную траншей, пазух котлованов и ям, группа грунтов 3 в т.ч. разравнивание лишнего грунта",,"автогрейдер, бульдозер, самосвал, экскаватор","земляные выемки и работа с грунтом; перемещение, засыпка или планировка грунта",1,Пример накопительной.xlsx:Лист_1:75913,100 м3 грунта,0.0144,1179.75
"Засыпка вручную траншей, пазух котлованов и ям, группа грунтов 3 Обратная засыпка котлована",,"автогрейдер, бульдозер, самосвал, экскаватор","земляные выемки и работа с грунтом; перемещение, засыпка или планировка грунта",1,Пример накопительной.xlsx:Лист_1:51925,100 м3 грунта,0.15,1179.75
"Засыпка вручную траншей, пазух котлованов и ям, группа грунтов 3 Объем▒130+1430.0,15",,"автогрейдер, бульдозер, самосвал, экскаватор","земляные выемки и работа с грунтом; перемещение, засыпка или планировка грунта",1,Пример накопительной.xlsx:Лист_1:1487,100 м3 грунта,3.445,1179.75
"Засыпка вручную траншей, пазух котлованов и ям, группа грунтов 3 Объем▒175+14",,"автогрейдер, бульдозер, самосвал, экскаватор","земляные выемки и работа с грунтом; перемещение, засыпка или планировка грунта",1,Пример накопительной.xlsx:Лист_1:2897,100 м3 грунта,1.89,1179.75
"Засыпка вручную траншей, пазух котлованов и ям, группа грунтов 3 Объем▒350+15,75",,"автогрейдер, бульдозер, самосвал, экскаватор","земляные выемки и работа с грунтом; перемещение, засыпка или планировка грунта",1,Пример накопительной.xlsx:Лист_1:2669,100 м3 грунта,3.6575,1179.75
"Засыпка вручную траншей, пазух котлованов и ям, группа грунтов 3 Отсыпка грунтовой площадки",,"автогрейдер, бульдозер, самосвал, экскаватор","земляные выемки и работа с грунтом; перемещение, засыпка или планировка грунта",1,Пример накопительной.xlsx:Лист_1:51927,100 м3 грунта,0.1,1179.75
"Засыпка вручную траншей, пазух котлованов и ям, группа грунтов 3. Обратная засыпка котлована",,"автогрейдер, бульдозер, самосвал, экскаватор","земляные выемки и работа с грунтом; перемещение, засыпка или планировка грунта",1,Пример накопительной.xlsx:Лист_1:122051,100 м3 грунта,0.11,1179.75
"Засыпка вручную траншей, пазух котлованов и ям, группа грунтов 3. Отсыпка грунтовой площадки",,"автогрейдер, бульдозер, самосвал, экскаватор","земляные выемки и работа с грунтом; перемещение, засыпка или планировка грунта",1,Пример накопительной.xlsx:Лист_1:122855,100 м3 грунта,0.08,1179.75
"Засыпка вручную траншей, пазух котлованов и ям, группа грунтов 4",,"автогрейдер, бульдозер, самосвал, экскаватор","земляные выемки и работа с грунтом; перемещение, засыпка или планировка грунта",1,Пример накопительной.xlsx:Лист_1:52461,100 м3 грунта,1.25,1345.5
Засыпка котлована щебнем,,"автогрейдер, бульдозер, самосвал, экскаватор","земляные выемки и работа с грунтом; перемещение, засыпка или планировка грунта",1,Пример накопительной.xlsx:Лист_1:99817,100 м3 грунта,0.0064,947.7
Засыпка пазух котлованов спецсооружений дренирующим песком,,"автогрейдер, бульдозер, самосвал, экскаватор","земляные выемки и работа с грунтом; перемещение, засыпка или планировка грунта",1,Пример накопительной.xlsx:Лист_1:24129,10 м3,3.45,884.39
Засыпка пазух котлованов спецсооружений дренирующим песком. Засыпка пазух на входе и выходе трубы,,"автогрейдер, бульдозер, самосвал, экскаватор","земляные выемки и работа с грунтом; перемещение, засыпка или планировка грунта",1,Пример накопительной.xlsx:Лист_1:64073,10 м3,15.5,884.39
Засыпка пазухи и существующего русла недренирующим (недостающим) грунтом от разработки выемки на ПК 1057 с автовозкой грунта до 1км,,"автогрейдер, бульдозер","перемещение, засыпка или планировка грунта",1,Ведомость объемов работ трубы.xlsx:Лист1:86,,,
"Засыпка песчано-гравийной смесью пустот между стенкой скважины и телом фундамента Объем:(67-1,8)",,"автогрейдер, бульдозер","перемещение, засыпка или планировка грунта",1,Пример накопительной.xlsx:Лист_1:21003,100 м3 грунта,0.652,947.7
Засыпка песчано-гравийной смесью пустот между стенкой скважины и телом фундамента Объем:24-1,,"автогрейдер, бульдозер","перемещение, засыпка или планировка грунта",1,Пример накопительной.xlsx:Лист_1:22475,100 м3 грунта,0.23,947.7
Засыпка песчано-гравийной смесью пустот между стенкой скважины и телом фундамента Объем:25-1,,"автогрейдер, бульдозер","перемещение, засыпка или планировка грунта",1,Пример накопительной.xlsx:Лист_1:22205,100 м3 грунта,0.24,947.7
"Засыпка траншей и котлованов и разравнивание лишнего грунта с перемещением грунта до 5 м бульдозерами мощностью 96 кВт (130 л.с.), группа грунтов 3",бульдозер,"автогрейдер, бульдозер, самосвал, экскаватор","земляные выемки и работа с грунтом; перемещение, засыпка или планировка грунта",1,Пример накопительной.xlsx:Лист_1:46823,1000 м3 грунта,0.0309,826.41
"Засыпка траншей и котлованов и разравнивание лишнего грунта с перемещением грунта до 5 м бульдозерами мощностью 96 кВт (130 л.с.), группа грунтов 3 О",бульдозер,"автогрейдер, бульдозер, самосвал, экскаватор","земляные выемки и работа с грунтом; перемещение, засыпка или планировка грунта",1,Пример накопительной.xlsx:Лист_1:67905,1000 м3 грунта,0.0326,826.41
Засыпка траншей и котлованов предварительно разрыхленным скальным грунтом с перемещением до 10 м бульдозерами мощностью 132 кВт (180 л.с.) (ПК0+94-ПК4,бульдозер,"автогрейдер, бульдозер, самосвал, экскаватор","земляные выемки и работа с грунтом; перемещение, засыпка или планировка грунта",1,Пример накопительной.xlsx:Лист_1:54043,1000 м3 грунта,5.25,2044.68
Засыпка траншей и котлованов с пере,,"автогрейдер, бульдозер, самосвал, экскаватор","земляные выемки и работа с грунтом; перемещение, засыпка или планировка грунта",1,Пример накопительной.xlsx:Лист_1:48729,1000 м3 грунта,0.0041,826.41
"Засыпка траншей и котлованов с перемещением грунта до 5 м бульдозерами мощностью 132 кВт (180 л.с.), группа грунтов 1",бульдозер,"автогрейдер, бульдозер, самосвал, экскаватор","земляные выемки и работа с грунтом; перемещение, засыпка или планировка грунта",1,Пример накопительной.xlsx:Лист_1:53897,1000 м3 грунта,0.25,306.7
"Засыпка траншей и котлованов с перемещением грунта до 5 м бульдозерами мощностью 132 кВт (180 л.с.), группа грунтов 1 (ПК1+15-ПК2+20 слева, засыпка ст",бульдозер,"автогрейдер, бульдозер, самосвал, экскаватор","земляные выемки и работа с грунтом; перемещение, засыпка или планировка грунта",1,Пример накопительной.xlsx:Лист_1:54045,1000 м3 грунта,14.51,306.7
"Засыпка траншей и котлованов с перемещением грунта до 5 м бульдозерами мощностью 132 кВт (180 л.с.), группа грунтов 2",бульдозер,"автогрейдер, бульдозер, самосвал, экскаватор","земляные выемки и работа с грунтом; перемещение, засыпка или планировка грунта",1,Пример накопительной.xlsx:Лист_1:75961,1000 м3 грунта,0.017,364.02
"Засыпка траншей и котлованов с перемещением грунта до 5 м бульдозерами мощностью 132 кВт (180 л.с.), группа грунтов 2 перемещение в насыпь 5250+490+12",бульдозер,"автогрейдер, бульдозер, самосвал, экскаватор","земляные выемки и работа с грунтом; перемещение, засыпка или планировка грунта",1,Пример накопительной.xlsx:Лист_1:8197,1000 м3 грунта,19.76,364.02
"Засыпка траншей и котлованов с перемещением грунта до 5 м бульдозерами мощностью 59 кВт (80 л.с.), группа грунтов 1 Объем-((3,6.3,8.0,2+2,5)-(2,19.2,3",бульдозер,"автогрейдер, бульдозер, самосвал, экскаватор","земляные выемки и работа с грунтом; перемещение, засыпка или планировка грунта",1,Пример накопительной.xlsx:Лист_1:23219,1000 м3 грунта,0.0067,554.12
"Засыпка траншей и котлованов с перемещением грунта до 5 м бульдозерами мощностью 59 кВт (80 л.с.), группа грунтов 1 Объем-((6,6.7.0,6+3)-(19+0,55+0,7+",бульдозер,"автогрейдер, бульдозер, самосвал, экскаватор","земляные выемки и работа с грунтом; перемещение, засыпка или планировка грунта",1,Пример накопительной.xlsx:Лист_1:23155,1000 м3 грунта,0.0087,554.12
"Засыпка траншей и котлованов с перемещением грунта до 5 м бульдозерами мощностью 59 кВт (80 л.с.), группа грунтов 2 Объем=0,85.230",бульдозер,"автогрейдер, бульдозер, самосвал, экскаватор","земляные выемки и работа с грунтом; перемещение, засыпка или планировка грунта",1,Пример накопительной.xlsx:Лист_1:20067,1000 м3 грунта,0.1955,646.71
"Засыпка траншей и котлованов с перемещением грунта до 5 м бульдозерами мощностью 59 кВт (80 л.с.), группа грунтов 2 Объем▒0,85.(1201,05+1430)",бульдозер,"автогрейдер, бульдозер, самосвал, экскаватор","земляные выемки и работа с грунтом; перемещение, засыпка или планировка грунта",1,Пример накопительной.xlsx:Лист_1:1479,1000 м3 грунта,2.2364,646.71
"Засыпка траншей и котлованов с перемещением грунта до 5 м бульдозерами мощностью 59 кВт (80 л.с.), группа грунтов 2 Объем▒0,85.180",бульдозер,"автогрейдер, бульдозер, самосвал, экскаватор","земляные выемки и работа с грунтом; перемещение, засыпка или планировка грунта",1,Пример накопительной.xlsx:Лист_1:3471,1000 м3 грунта,0.153,646.71
"Засыпка траншей и котлованов с перемещением грунта до 5 м бульдозерами мощностью 59 кВт (80 л.с.), группа грунтов 3 Объем-((3,6.3,8.0,2+2,5)-(2,19.2,3",бульдозер,"автогрейдер, бульдозер, самосвал, экскаватор","земляные выемки и работа с грунтом; перемещение, засыпка или планировка грунта",1,Пример накопительной.xlsx:Лист_1:23217,1000 м3 грунта,0.0202,755.35
"Засыпка траншей и котлованов с перемещением грунта до 5 м бульдозерами мощностью 59 кВт (80 л.с.), группа грунтов 3 объем-(1,3.20.2).0,85",бульдозер,"автогрейдер, бульдозер, самосвал, экскаватор","земляные выемки и работа с грунтом; перемещение, засыпка или планировка грунта",1,Пример накопительной.xlsx:Лист_1:82961,1000 м3 грунта,0.0387,755.35
"Засыпка траншей и котлованов с перемещением грунта до 5 м бульдозерами мощностью 59 кВт (80 л.с.), группа грунтов 3 Объем-26703,69.0,85",бульдозер,"автогрейдер, бульдозер, самосвал, экскаватор","земляные выемки и работа с грунтом; перемещение, засыпка или планировка грунта",1,Пример накопительной.xlsx:Лист_1:18205,1000 м3 грунта,22.6981,755.35
"Засыпка траншей и котлованов с перемещением грунта до 5 м бульдозерами мощностью 59 кВт (80 л.с.), группа грунтов 3 Объем-457,64.0,85",бульдозер,"автогрейдер, бульдозер, самосвал, экскаватор","земляные выемки и работа с грунтом; перемещение, засыпка или планировка грунта",1,Пример накопительной.xlsx:Лист_1:18045,1000 м3 грунта,0.389,755.35
"Засыпка траншей и котлованов с перемещением грунта до 5 м бульдозерами мощностью 59 кВт (80 л.с.), группа грунтов 3 Объем-85.0,85",бульдозер,"автогрейдер, бульдозер, самосвал, экскаватор","земляные выемки и работа с грунтом; перемещение, засыпка или планировка грунта",1,Пример накопительной.xlsx:Лист_1:18339,1000 м3 грунта,0.0723,755.35
"Засыпка траншей и котлованов с перемещением грунта до 5 м бульдозерами мощностью 59 кВт (80 л.с.), группа грунтов 3 Объем▒0,85.1430",бульдозер,"автогрейдер, бульдозер, самосвал, экскаватор","земляные выемки и работа с грунтом; перемещение, засыпка или планировка грунта",1,Пример накопительной.xlsx:Лист_1:1481,1000 м3 грунта,1.2155,755.35
"Засыпка траншей и котлованов с перемещением грунта до 5 м бульдозерами мощностью 79 (108) кВт (л.с.), 1 группа грунтов",бульдозер,"автогрейдер, бульдозер, самосвал, экскаватор","земляные выемки и работа с грунтом; перемещение, засыпка или планировка грунта",1,Пример накопительной.xlsx:Лист_1:44663,1000м3,0.0153,328.97
"Засыпка траншей и котлованов с перемещением грунта до 5 м бульдозерами мощностью 79 (108) кВт (л.с.), 3 группа грунтов объем-11785х0,85",бульдозер,"автогрейдер, бульдозер, самосвал, экскаватор","земляные выемки и работа с грунтом; перемещение, засыпка или планировка грунта",1,Пример накопительной.xlsx:Лист_1:52439,1000м3,10.0173,447.39
"Засыпка траншей и котлованов с перемещением грунта до 5 м бульдозерами мощностью 79 кВт (108 л.с.), группа грунтов 1 (засыпка песком)",бульдозер,"автогрейдер, бульдозер, самосвал, экскаватор","земляные выемки и работа с грунтом; перемещение, засыпка или планировка грунта",1,Пример накопительной.xlsx:Лист_1:77507,1000 м3 грунта,0.08,328.97
"Засыпка траншей и котлованов с перемещением грунта до 5 м бульдозерами мощностью 79 кВт (108 л.с.), группа грунтов 1 (разравнивание лишнего грунта)",бульдозер,"автогрейдер, бульдозер, самосвал, экскаватор","земляные выемки и работа с грунтом; перемещение, засыпка или планировка грунта",1,Пример накопительной.xlsx:Лист_1:77505,1000 м3 грунта,0.0067,328.97
"Засыпка траншей и котлованов с перемещением грунта до 5 м бульдозерами мощностью 79 кВт (108 л.с.), группа грунтов 1.",бульдозер,"автогрейдер, бульдозер, самосвал, экскаватор","земляные выемки и работа с грунтом; перемещение, засыпка или планировка грунта",1,Пример накопительной.xlsx:Лист_1:103255,1000 м3 грунта,0.9341,328.97
"Засыпка траншей и котлованов с перемещением грунта до 5 м бульдозерами мощностью 79 кВт (108 л.с.), группа грунтов 2 Объем-((21.16,2).2,4-(31,7+145,2)",бульдозер,"автогрейдер, бульдозер, самосвал, экскаватор","земляные выемки и работа с грунтом; перемещение, засыпка или планировка грунта",1,Пример накопительной.xlsx:Лист_1:95273,1000 м3 грунта,0.5436,392.88
"Засыпка траншей и котлованов с перемещением грунта до 5 м бульдозерами мощностью 79 кВт (108 л.с.), группа грунтов 2 Объем-((3,1.3,4.1,35.138+32,8)-2,",бульдозер,"автогрейдер, бульдозер, самосвал, экскаватор","земляные выемки и работа с грунтом; перемещение, засыпка или планировка грунта",1,Пример накопительной.xlsx:Лист_1:114865,1000 м3 грунта,1.4436,392.88
"Засыпка траншей и котлованов с перемещением грунта до 5 м бульдозерами мощностью 79 кВт (108 л.с.), группа грунтов 2 объем-(31.22.5,4-13.19.4,7.2).85%",бульдозер,"автогрейдер, бульдозер, самосвал, экскаватор","земляные выемки и работа с грунтом; перемещение, засыпка или планировка грунта",1,Пример накопительной.xlsx:Лист_1:18179,1000 м3 грунта,1.1569,392.88
"Засыпка траншей и котлованов с перемещением грунта до 5 м бульдозерами мощностью 79 кВт (108 л.с.), группа грунтов 2 Объем-108,3м3х85%",бульдозер,"автогрейдер, бульдозер, самосвал, экскаватор","земляные выемки и работа с грунтом; перемещение, засыпка или планировка грунта",1,Пример накопительной.xlsx:Лист_1:76407,1000 м3 грунта,0.0507,392.88
"Засыпка траншей и котлованов с перемещением грунта до 5 м бульдозерами мощностью 79 кВт (108 л.с.), группа грунтов 2 объем-314.85%",бульдозер,"автогрейдер, бульдозер, самосвал, экскаватор","земляные выемки и работа с грунтом; перемещение, засыпка или планировка грунта",1,Пример накопительной.xlsx:Лист_1:24247,1000 м3 грунта,0.2669,392.88
"Засыпка траншей и котлованов с перемещением грунта до 5 м бульдозерами мощностью 79 кВт (108 л.с.), группа грунтов 2 объем-790х0,85",бульдозер,"автогрейдер, бульдозер, самосвал, экскаватор","земляные выемки и работа с грунтом; перемещение, засыпка или планировка грунта",1,Пример накопительной.xlsx:Лист_1:52431,1000 м3 грунта,0.6715,392.88
"Засыпка траншей и котлованов с перемещением грунта до 5 м бульдозерами мощностью 79 кВт (108 л.с.), группа грунтов 2 Объем-Ф2.0,85",бульдозер,"автогрейдер, бульдозер, самосвал, экскаватор","земляные выемки и работа с грунтом; перемещение, засыпка или планировка грунта",1,Пример накопительной.xlsx:Лист_1:16297,1000 м3 грунта,0.5436,392.88
"Засыпка траншей и котлованов с перемещением грунта до 5 м бульдозерами мощностью 79 кВт (108 л.с.), группа грунтов 2 Объем:((268-7,2)+32,1).0,85",бульдозер,"автогрейдер, бульдозер, самосвал, экскаватор","земляные выемки и работа с грунтом; перемещение, засыпка или планировка грунта",1,Пример накопительной.xlsx:Лист_1:21091,1000 м3 грунта,0.249,392.88
"Засыпка траншей и котлованов с перемещением грунта до 5 м бульдозерами мощностью 79 кВт (108 л.с.), группа грунтов 2 Объем:((40,8-22)+26).0,85",бульдозер,"автогрейдер, бульдозер, самосвал, экскаватор","земляные выемки и работа с грунтом; перемещение, засыпка или планировка грунта",1,Пример накопительной.xlsx:Лист_1:20737,1000 м3 грунта,0.0381,392.88
"Засыпка траншей и котлованов с перемещением грунта до 5 м бульдозерами мощностью 79 кВт (108 л.с.), группа грунтов 2 Объем:((74,4-3,2)+160).0,85",бульдозер,"автогрейдер, бульдозер, самосвал, экскаватор","земляные выемки и работа с грунтом; перемещение, засыпка или планировка грунта",1,Пример накопительной.xlsx:Лист_1:22551,1000 м3 грунта,0.197,392.88
"Засыпка траншей и котлованов с перемещением грунта до 5 м бульдозерами мощностью 79 кВт (108 л.с.), группа грунтов 2 Объем:((76,8-3,2)+176).0,85",бульдозер,"автогрейдер, бульдозер, самосвал, экскаватор","земляные выемки и работа с грунтом; перемещение, засыпка или планировка грунта",1,Пример накопительной.xlsx:Лист_1:22281,1000 м3 грунта,0.212,392.88
"Засыпка траншей и котлованов с перемещением грунта до 5 м бульдозерами мощностью 79 кВт (108 л.с.), группа грунтов 2 Объем:(1,6+11).0,85",бульдозер,"автогрейдер, бульдозер, самосвал, экскаватор","земляные выемки и работа с грунтом; перемещение, засыпка или планировка грунта",1,Пример накопительной.xlsx:Лист_1:22891,1000 м3 грунта,0.011,392.88
"Засыпка траншей и котлованов с перемещением грунта до 5 м бульдозерами мощностью 79 кВт (108 л.с.), группа грунтов 2 Объем:344.0,85",бульдозер,"автогрейдер, бульдозер, самосвал, экскаватор","земляные выемки и работа с грунтом; перемещение, засыпка или планировка грунта",1,Пример накопительной.xlsx:Лист_1:22967,1000 м3 грунта,0.292,392.88
"Засыпка траншей и котлованов с перемещением грунта до 5 м бульдозерами мощностью 79 кВт (108 л.с.), группа грунтов 2(песок)",бульдозер,"автогрейдер, бульдозер, самосвал, экскаватор","земляные выемки и работа с грунтом; перемещение, засыпка или планировка грунта",1,Пример накопительной.xlsx:Лист_1:94151,1000 м3 грунта,0.2708,392.88
"Засыпка траншей и котлованов с перемещением грунта до 5 м бульдозерами мощностью 79 кВт (108 л.с.), группа грунтов 3 Объем-((2100.1,3.3+2,7.2,7.3.7+3,",бульдозер,"автогрейдер, бульдозер, самосвал, экскаватор","земляные выемки и работа с грунтом; перемещение, засыпка или планировка грунта",1,Пример накопительной.xlsx:Лист_1:25433,1000 м3 грунта,6.7965,447.39
"Засыпка траншей и котлованов с перемещением грунта до 5 м бульдозерами мощностью 79 кВт (108 л.с.), группа грунтов 3 Объем-((6202.1,3.3+2,7.2,7.3.84+3",бульдозер,"автогрейдер, бульдозер, самосвал, экскаватор","земляные выемки и работа с грунтом; перемещение, засыпка или планировка грунта",1,Пример накопительной.xlsx:Лист_1:25315,1000 м3 грунта,20.5933,447.39
"Засыпка траншей и котлованов с перемещением грунта до 5 м бульдозерами мощностью 96 кВт (130 л.с.), группа грунтов 1 Обратная засыпка котлована под фу",бульдозер,"автогрейдер, бульдозер, самосвал, экскаватор","земляные выемки и работа с грунтом; перемещение, засыпка или планировка грунта",1,Пример накопительной.xlsx:Лист_1:55271,1000 м3 грунта,0.025,661.8
"Засыпка траншей и котлованов с перемещением грунта до 5 м бульдозерами мощностью 96 кВт (130 л.с.), группа грунтов 1.Забутовка русла",бульдозер,"автогрейдер, бульдозер, самосвал, экскаватор","земляные выемки и работа с грунтом; перемещение, засыпка или планировка грунта",1,Пример накопительной.xlsx:Лист_1:53719,1000 м3 грунта,0.17,661.8
"Засыпка траншей и котлованов с перемещением грунта до 5 м бульдозерами мощностью 96 кВт (130 л.с.), группа грунтов 2 (песок) Объем-(8,5.5,6.4,05-(2,6+",бульдозер,"автогрейдер, бульдозер, самосвал, экскаватор","земляные выемки и работа с грунтом; перемещение, засыпка или планировка грунта",1,Пример накопительной.xlsx:Лист_1:116411,1000 м3 грунта,0.2536,751.39
"Засыпка траншей и котлованов с перемещением грунта до 5 м бульдозерами мощностью 96 кВт (130 л.с.), группа грунтов 2 для засыпки котлована под фундаме",бульдозер,"автогрейдер, бульдозер, самосвал, экскаватор","земляные выемки и работа с грунтом; перемещение, засыпка или планировка грунта",1,Пример накопительной.xlsx:Лист_1:65291,1000 м3 грунта,0.07,751.39
"Засыпка траншей и котлованов с перемещением грунта до 5 м бульдозерами мощностью 96 кВт (130 л.с.), группа грунтов 2 Обратная засыпка фундамента",бульдозер,"автогрейдер, бульдозер, самосвал, экскаватор","земляные выемки и работа с грунтом; перемещение, засыпка или планировка грунта",1,Пример накопительной.xlsx:Лист_1:51721,1000 м3 грунта,0.051,751.39
"Засыпка траншей и котлованов с перемещением грунта до 5 м бульдозерами мощностью 96 кВт (130 л.с.), группа грунтов 2 Объем-((10,55+1.2).(3+1.2).0,2-(1",бульдозер,"автогрейдер, бульдозер, самосвал, экскаватор","земляные выемки и работа с грунтом; перемещение, засыпка или планировка грунта",1,Пример накопительной.xlsx:Лист_1:28119,1000 м3 грунта,0.0024,826.41
"Засыпка траншей и котлованов с перемещением грунта до 5 м бульдозерами мощностью 96 кВт (130 л.с.), группа грунтов 2 Объем-((21,44+1.2).(15,3+1.2).0,5",бульдозер,"автогрейдер, бульдозер, самосвал, экскаватор","земляные выемки и работа с грунтом; перемещение, засыпка или планировка грунта",1,Пример накопительной.xlsx:Лист_1:17609,1000 м3 грунта,0.1361,826.41
"Засыпка траншей и котлованов с перемещением грунта до 5 м бульдозерами мощностью 96 кВт (130 л.с.), группа грунтов 2 Объем-(4.3,4.2-(0,62+2,21+0,2+3,1",бульдозер,"автогрейдер, бульдозер, самосвал, экскаватор","земляные выемки и работа с грунтом; перемещение, засыпка или планировка грунта",1,Пример накопительной.xlsx:Лист_1:28131,1000 м3 грунта,0.0172,751.39
"Засыпка траншей и котлованов с перемещением грунта до 5 м бульдозерами мощностью 96 кВт (130 л.с.), группа грунтов 2 объем-393,8м3х85%",бульдозер,"автогрейдер, бульдозер, самосвал, экскаватор","земляные выемки и работа с грунтом; перемещение, засыпка или планировка грунта",1,Пример накопительной.xlsx:Лист_1:103239,1000 м3,0.3347,751.39
"Засыпка траншей и котлованов с перемещением грунта до 5 м бульдозерами мощностью 96 кВт (130 л.с.), группа грунтов 2, для обратной засыпки котлована п",бульдозер,"автогрейдер, бульдозер, самосвал, экскаватор","земляные выемки и работа с грунтом; перемещение, засыпка или планировка грунта",1,Пример накопительной.xlsx:Лист_1:121861,1000 м3 грунта,0.06,751.39
"Засыпка траншей и котлованов с перемещением грунта до 5 м бульдозерами мощностью 96 кВт (130 л.с.), группа грунтов 2. Засыпка котлована под укрепление",бульдозер,"автогрейдер, бульдозер, самосвал, экскаватор","земляные выемки и работа с грунтом; перемещение, засыпка или планировка грунта",1,Пример накопительной.xlsx:Лист_1:122309,1000 м3 грунта,0.19,751.39
"Засыпка траншей и котлованов с перемещением грунта до 5 м бульдозерами мощностью 96 кВт (130 л.с.), группа грунтов 3 Обратная засыпка котлована",бульдозер,"автогрейдер, бульдозер, самосвал, экскаватор","земляные выемки и работа с грунтом; перемещение, засыпка или планировка грунта",1,Пример накопительной.xlsx:Лист_1:60901,1000 м3 грунта,0.106,826.41
"Засыпка траншей и котлованов с перемещением грунта до 5 м бульдозерами мощностью 96 кВт (130 л.с.), группа грунтов 3 Обратная засыпка фундамента",бульдозер,"автогрейдер, бульдозер, самосвал, экскаватор","земляные выемки и работа с грунтом; перемещение, засыпка или планировка грунта",1,Пример накопительной.xlsx:Лист_1:51717,1000 м3 грунта,0.149,826.41
